PERIODO,KM,severidade,risco_previsto
2025-02,307,1.0,2.4562220837333903
2025-03,2,14.0,2.4519150991835614
2025-11,313,2.0,2.45073973388787
2025-01,21,0.0,2.4481670227228483
2025-05,2,0.0,2.445868831791002
2025-07,89,9.0,2.4443840959753533
2025-06,53,1.0,2.444161912277182
2025-01,120,5.0,2.4441012226617285
2025-11,2,1.0,2.4427504784947587
2025-11,56,0.0,2.441864002554747
2025-09,66,0.0,2.440132002642939
2025-04,114,1.0,2.439911912269596
2025-09,21,2.0,2.437918942849894
2025-04,93,2.0,2.4376637361315137
2025-01,76,0.0,2.43670814986087
2025-11,315,2.0,2.435422015268447
2025-08,15,5.0,2.4253445625052965
2025-12,16,0.0,2.424107314895061
2025-06,11,0.0,2.4222219407215118
2025-02,36,3.0,2.4204444133996015
2025-09,3,0.0,2.4198662081677336
2025-09,95,18.0,2.4167571953166993
2025-12,315,1.0,2.4157280878817375
2025-09,15,0.0,2.4140745041508667
2025-03,59,1.0,2.413976056881234
2025-01,313,0.0,2.4128487153080287
2025-01,307,1.0,2.4107652628502207
2025-03,5,1.0,2.4105826226623215
2025-01,1,1.0,2.4076933032124246
2025-08,5,0.0,2.4057366964980234
2025-02,56,2.0,2.405590544642061
2025-02,315,2.0,2.4043745123880327
2025-10,1,0.0,2.401690625956062
2025-08,112,1.0,2.401172590978228
2025-03,54,3.0,2.3954550567822865
2025-04,310,1.0,2.394949128840868
2025-11,95,0.0,2.3941565588072526
2025-10,313,1.0,2.3927544691865914
2025-12,5,3.0,2.3883516081837004
2025-07,310,4.0,2.38814254496417
2025-06,311,0.0,2.388083809580016
2025-09,120,3.0,2.3873546137854715
2025-09,94,1.0,2.386951497944845
2025-07,2,1.0,2.3868780748446827
2025-03,93,3.0,2.3845594891387436
2025-11,314,1.0,2.3791731057542345
2025-12,54,2.0,2.3748522099411535
2025-09,14,3.0,2.374507433238424
2025-03,308,0.0,2.3734877628673168
2025-07,93,0.0,2.3667763209135093
2025-10,2,0.0,2.3627249632994727
2025-02,312,4.0,2.360417067717672
